mse,psnr,ssim,a-gcnr,h-gcnr,cvar,jitter_factor,charge_injection_factor,clock_feedthrough_factor,gain_error_factor,f0_mhz,fs_mhz,ch_compression
2714.409358222222,13.794050169506892,0.8557699335354017,0.2233745871654037,0.11988814122939234,0.0061013137803275375,0.0,0.0,0.0,inf,2.5,50.0,10
2720.396238222222,13.78448195237975,0.8546868185647866,0.22450283997922615,0.11902361273331824,0.008107292109104762,0.0,0.0,0.0,inf,2.5,50.0,10
2867.5195306666665,13.555739763061567,0.839034769645703,0.20784732128212163,0.11100707419597217,0.014069496991355152,0.0,0.0,0.0,inf,2.5,50.0,10
2629.477376,13.932109223682259,0.8559189445832278,0.21993363920580156,0.12017816495508649,0.004483366041366664,0.0,0.0,0.0,inf,2.5,50.0,10
2836.763463111111,13.602572361923624,0.8427857656619638,0.2278919643894301,0.11375338396579687,-0.014225989738688962,0.0,0.0,0.0,inf,2.5,50.0,10
2609.501525333333,13.965228058179695,0.8601745954839122,0.22325669150410182,0.12238581935580434,0.0023474615939531786,0.0,0.0,0.0,inf,2.5,50.0,10
2815.5359573333335,13.635192827615688,0.8398243431067126,0.2318370917279372,0.11199830156668861,-0.014247754431062265,0.0,0.0,0.0,inf,2.5,50.0,10
2893.7383324444445,13.51621103578093,0.8415589056702621,0.21350143432218038,0.11384080527923818,0.013044969937093568,0.0,0.0,0.0,inf,2.5,50.0,10
2903.8604515555558,13.501046188727683,0.8341099652163311,0.21011786378937752,0.10626923889053441,0.012923055858980664,0.0,0.0,0.0,inf,2.5,50.0,10
2594.482986666667,13.99029533715558,0.8613706445084217,0.22237203773010328,0.1219357968445503,0.0011359924933738927,0.0,0.0,0.0,inf,2.5,50.0,10
2596.7161955555557,13.986558742495399,0.8610220194702993,0.22195982598672115,0.12111334529328743,-0.0022921954237037933,0.0,0.0,0.0,inf,2.5,50.0,10
2617.0036195555554,13.95276037558592,0.8563463475518984,0.22378321639968585,0.12045792916710746,0.007391279284331004,0.0,0.0,0.0,inf,2.5,50.0,10
2584.065728,14.007768047396528,0.861614468583405,0.22292395341711768,0.12157787037645346,-0.0016155628270437688,0.0,0.0,0.0,inf,2.5,50.0,10
2732.642176,13.764975938524131,0.8476043085385011,0.22754528323639212,0.11386497248467664,0.012525429646181198,0.0,0.0,0.0,inf,2.5,50.0,10
2948.113400888889,13.43536175970899,0.819520996372475,0.19916177672691326,0.10097791753123653,0.016321568438997725,0.0,0.0,0.0,inf,2.5,50.0,10
2601.1778204444445,13.979103186304867,0.8614473890789417,0.2234590475136955,0.1212858880929108,-0.0009182915628850876,0.0,0.0,0.0,inf,2.5,50.0,10
2709.913358222222,13.801249551032868,0.8555852817003592,0.22497820647051497,0.11985413215131796,0.006485773374442239,0.0,0.0,0.0,inf,2.5,50.0,10
