f0_mhz,fs_mhz,ch_compression,lam,mse,psnr,ssim,a-gcnr,h-gcnr
2.0,25.0,2,1e-10,1819.2767888888889,15.531815822319787,0.06695860589958999,0.18396989794929997,0.08203834056105819
2.0,25.0,2,1.2915496650148826e-09,1814.6873,15.542785610188773,0.06863272373598389,0.1793630210808697,0.11614594755150603
2.0,25.0,2,1.6681005372000592e-08,1770.8927,15.648881131784801,0.08160213261958013,0.11247855065377826,0.0851816574583773
2.0,25.0,2,2.1544346900318867e-07,1797.9005,15.583147076735157,0.07171052297410103,0.16396965191651253,0.10054735513565755
2.0,25.0,2,2.782559402207126e-06,1830.5362,15.505020391200175,0.060136331903771836,0.13054250415979268,0.06193667253353119
2.0,25.0,2,3.5938136638046256e-05,1789.7460888888888,15.602889388356331,0.07837630946407867,0.12289581282384815,0.09140011899355172
2.0,25.0,2,0.0004641588833612782,1837.5139222222222,15.488497225966405,0.061450937615223786,0.1634978503474802,0.11153879046572385
2.0,25.0,2,0.005994842503189421,1848.6194333333333,15.462328466880065,0.05308564942201062,0.1967254294775368,0.047922408193689536
2.0,25.0,2,0.07742636826811278,1851.7413777777779,15.455000297353141,0.05834680369478484,0.11360903042474152,0.07197244117443813
2.0,25.0,2,1.0,1801.7297555555556,15.573907098921708,0.07980739169590514,0.13981421139027805,0.07683163311793673
2.0,25.0,40,1e-10,3381.5177555555556,12.839686887222353,0.07816207017379066,0.09272894867076531,1.4749681781001112e-05
2.0,25.0,40,1.2915496650148826e-09,2469.0081666666665,14.205578344303472,0.05885436519728443,0.008816153873771715,0.03244690525206184
2.0,25.0,40,1.6681005372000592e-08,2780.563988888889,13.689474669570302,0.08931258162515156,0.04808722165051743,0.07559045745844967
2.0,25.0,40,2.1544346900318867e-07,3107.924311111111,13.206099272084828,0.06372490545209547,0.04582466935274698,0.06371903428792747
2.0,25.0,40,2.782559402207126e-06,3048.452788888889,13.290008873370365,0.08940214879429183,0.08745968833058115,0.07896936453171449
2.0,25.0,40,3.5938136638046256e-05,2705.965577777778,13.807580931725479,0.08068942802214377,0.1308935341848152,0.09234462274860378
2.0,25.0,40,0.0004641588833612782,3046.013822222222,13.293484911189637,0.07095603635003271,0.08396373100942783,0.023742117695524922
2.0,25.0,40,0.005994842503189421,2625.6875777777777,13.938373113608602,0.064289172580122,0.015467015293399444,0.06646811147089488
2.0,25.0,40,0.07742636826811278,2898.9804555555556,13.50835073444264,0.07157543018152482,0.09180673807159628,0.08941078928939528
2.0,25.0,40,1.0,2579.2047888888887,14.015945343742382,0.07044059070187583,0.04285846100801549,0.047518603475024346
2.0,210.0,2,1e-10,1424.6412,16.593748610714027,0.1917744181874245,0.2218484355662833,0.10176275858623435
2.0,25.0,2,1e-10,1406.6308111111111,16.64900234816696,0.1986617489827437,0.2187011695945893,0.08871856473626544
2.0,25.0,2,1.2915496650148826e-09,1406.6308111111111,16.64900234816696,0.1986617489827437,0.2187011695945893,0.08871856473626544
2.0,25.0,2,1.6681005372000592e-08,1406.6308111111111,16.64900234816696,0.1986617489827437,0.2187011695945893,0.08871856473626544
2.0,25.0,2,2.1544346900318867e-07,1406.6308111111111,16.64900234816696,0.1986617489827437,0.2187011695945893,0.08871856473626544
2.0,25.0,2,2.782559402207126e-06,1406.6308111111111,16.64900234816696,0.1986617489827437,0.2187011695945893,0.08871856473626544
2.0,25.0,2,3.5938136638046256e-05,1406.6308111111111,16.64900234816696,0.1986617489827437,0.2187011695945893,0.08871856473626544
2.0,25.0,2,0.0004641588833612782,1406.6308111111111,16.64900234816696,0.1986617489827437,0.2187011695945893,0.08871856473626544
2.0,25.0,2,0.005994842503189421,1406.6308111111111,16.64900234816696,0.1986617489827437,0.2187011695945893,0.08871856473626544
2.0,25.0,2,0.07742636826811278,1406.6308111111111,16.64900234816696,0.1986617489827437,0.2187011695945893,0.08871856473626544
2.0,25.0,2,1.0,1406.6308111111111,16.64900234816696,0.1986617489827437,0.2187011695945893,0.08871856473626544
2.0,25.0,10,1e-10,1721.5962333333334,15.771490570700085,0.13515199559533597,0.2025711888874931,0.055507849244674834
2.0,25.0,10,1.2915496650148826e-09,1721.5962333333334,15.771490570700085,0.13515199559533597,0.2025711888874931,0.055507849244674834
2.0,25.0,10,1.6681005372000592e-08,1721.5962333333334,15.771490570700085,0.13515199559533597,0.2025711888874931,0.055507849244674834
2.0,25.0,10,2.1544346900318867e-07,1721.5962333333334,15.771490570700085,0.13515199559533597,0.2025711888874931,0.055507849244674834
2.0,25.0,10,2.782559402207126e-06,1721.5962333333334,15.771490570700085,0.13515199559533597,0.2025711888874931,0.055507849244674834
2.0,25.0,10,3.5938136638046256e-05,1721.5962333333334,15.771490570700085,0.13515199559533597,0.2025711888874931,0.055507849244674834
2.0,25.0,10,0.0004641588833612782,1721.5962333333334,15.771490570700085,0.13515199559533597,0.2025711888874931,0.055507849244674834
2.0,25.0,10,0.005994842503189421,1721.5962333333334,15.771490570700085,0.13515199559533597,0.2025711888874931,0.055507849244674834
2.0,25.0,10,0.07742636826811278,1721.5962333333334,15.771490570700085,0.13515199559533597,0.2025711888874931,0.055507849244674834
2.0,25.0,10,1.0,1721.5962333333334,15.771490570700085,0.13515199559533597,0.2025711888874931,0.055507849244674834
