mse,psnr,ssim,a-gcnr,h-gcnr,cvar,jitter_factor,charge_injection_factor,clock_feedthrough_factor,gain_error_factor,f0_mhz,fs_mhz,ch_compression
3743.437063111111,12.398098249594348,0.8507727201043168,0.26189288799313304,0.04867617588552964,0.10259440324180323,0.0,0.0,0.0,inf,2.5,50.0,10
3941.7398186666665,12.17392406334558,0.8470470408125055,0.27635807200140877,0.050472276567905594,0.09477402090278313,0.0,0.0,0.0,inf,2.5,50.0,10
2753.0841955555557,13.732608675617424,0.8511262564436677,0.2548935908775767,0.09313798814443319,0.00029762372563123805,0.0,0.0,0.0,inf,2.5,50.0,10
2753.642311111111,13.731728346781122,0.8509531694238999,0.2550676148613099,0.09374837016439386,-0.007626590202515552,0.0,0.0,0.0,inf,2.5,50.0,10
2749.244501333333,13.738669957578031,0.8509205319578474,0.25425548323091113,0.09328741690549253,-0.0048737171015012905,0.0,0.0,0.0,inf,2.5,50.0,10
2763.149518222222,13.716759749807297,0.8495562279709167,0.2532484064677424,0.09149182856503585,-0.025474151541795994,0.0,0.0,0.0,inf,2.5,50.0,10
2750.6408106666668,13.736464786316724,0.851105085519671,0.25477048445655737,0.09312354667375372,-0.0024292601612283904,0.0,0.0,0.0,inf,2.5,50.0,10
2742.75648,13.74893111078584,0.8507959996101654,0.2562605166674572,0.09311151865611356,0.016068685195552095,0.0,0.0,0.0,inf,2.5,50.0,10
2751.2094293333334,13.735567095760466,0.850626312695333,0.2531055491993373,0.09336933198332004,-0.011480012351924052,0.0,0.0,0.0,inf,2.5,50.0,10
2775.680746666667,13.697108479086928,0.8498356637463025,0.2531470030230492,0.09170721770086054,0.015473253588942996,0.0,0.0,0.0,inf,2.5,50.0,10
2749.0137955555556,13.739034415705971,0.851134809207317,0.25488409779040616,0.09322193911208376,0.0005114576177296636,0.0,0.0,0.0,inf,2.5,50.0,10
2753.1619128888888,13.73248607953889,0.8509716995021215,0.2547137659412694,0.09311716403946202,0.003196505758702482,0.0,0.0,0.0,inf,2.5,50.0,10
2745.6379164444443,13.74437097180034,0.8511906547871612,0.2549815098550965,0.09294342222169255,0.0023298106453891842,0.0,0.0,0.0,inf,2.5,50.0,10
2754.5145457777776,13.730352907716236,0.8508029650281307,0.25458388619810746,0.09262738920675406,-0.006584112384237926,0.0,0.0,0.0,inf,2.5,50.0,10
