mse,psnr,ssim,a-gcnr,h-gcnr,cvar,jitter_factor,charge_injection_factor,clock_feedthrough_factor,gain_error_factor,f0_mhz,fs_mhz,ch_compression
2419.4400213333333,14.293655005843904,0.8696714520661706,0.19968846378396488,0.10630644387793003,-0.0008167768405046238,0.0,0.0,0.0,inf,2.5,50.0,10
2435.115384888889,14.265608163302769,0.8686982560260067,0.19953028745569035,0.10625409049328,0.0067597861662101865,0.0,0.0,0.0,inf,2.5,50.0,10
2457.9968,14.22499047713426,0.8673907785613352,0.20168683283325645,0.10472462356739132,0.014058350816424552,0.0,0.0,0.0,inf,2.5,50.0,10
2450.4115555555554,14.238413290355304,0.8665261072887975,0.20190037070360922,0.10491255894896429,-0.011051809229284731,0.0,0.0,0.0,inf,2.5,50.0,10
2428.319224888889,14.277745827090325,0.8690068935236479,0.1988870426449078,0.10573327264670501,0.0038288262692386613,0.0,0.0,0.0,inf,2.5,50.0,10
2467.885582222222,14.207553400939863,0.8665786567590796,0.20407138397798624,0.10589076571338535,0.013147093723348838,0.0,0.0,0.0,inf,2.5,50.0,10
2434.3127324444445,14.267039902399297,0.8692863539919764,0.2010119182634622,0.10659700545665945,-0.004828338579466051,0.0,0.0,0.0,inf,2.5,50.0,10
2452.804295111111,14.234174628629017,0.8683170264843268,0.1966939073612486,0.10564519380555487,-0.00764934702906532,0.0,0.0,0.0,inf,2.5,50.0,10
2473.290119111111,14.198052983929962,0.867140989622893,0.2001862904228237,0.10495580827564849,0.011264009818265535,0.0,0.0,0.0,inf,2.5,50.0,10
2418.687608888889,14.295005811776885,0.8696703286163763,0.20031656440458906,0.10656885180702591,0.0017781707791819706,0.0,0.0,0.0,inf,2.5,50.0,10
2447.7126684444443,14.243199252673335,0.8679650527178586,0.1995328424159653,0.1060579744274952,0.00869705795957383,0.0,0.0,0.0,inf,2.5,50.0,10
2421.566392888889,14.289839801262762,0.8693746601070523,0.19950935510994972,0.10687531081009383,0.004446853352152442,0.0,0.0,0.0,inf,2.5,50.0,10
2524.0154524444442,14.109883514642718,0.8647911419710826,0.19628614206419398,0.10181164939282239,-0.013402510675396322,0.0,0.0,0.0,inf,2.5,50.0,10
2423.491783111111,14.286388092892448,0.869563473700059,0.20056182030899894,0.10680405322505843,0.0027090674956357585,0.0,0.0,0.0,inf,2.5,50.0,10
2431.6289351111113,14.271830582478238,0.8684409539891148,0.2000649821563097,0.1051266411187734,0.006190724952057606,0.0,0.0,0.0,inf,2.5,50.0,10
2431.311552,14.272397472960925,0.8688552798111313,0.1991056905251941,0.1069231162525297,0.004394770714396671,0.0,0.0,0.0,inf,2.5,50.0,10
2479.9113884444446,14.18644197863123,0.867260948738824,0.19863818729513472,0.10551853512154785,-0.010784126635893463,0.0,0.0,0.0,inf,2.5,50.0,10
2529.747392,14.100032040152794,0.865812918238944,0.2001833487993978,0.10851928149664047,-0.014045162405412362,0.0,0.0,0.0,inf,2.5,50.0,10
2428.719232,14.277030490438115,0.8687315900152839,0.19828736275334802,0.10563133363867794,-0.006812267774786598,0.0,0.0,0.0,inf,2.5,50.0,10
2428.304839111111,14.277771555513299,0.8696484030516742,0.19969358332663262,0.10642554085502204,0.0002234675526880481,0.0,0.0,0.0,inf,2.5,50.0,10
