f0_mhz,fs_mhz,ch_compression,lam,mse,psnr,ssim,a-gcnr,h-gcnr
2.0,50.0,10,1e-06,1162.6737222222223,17.476225038515153,0.2549914972194075,0.18043044056811652,0.1901489234430539
2.0,50.0,20,1e-06,1547.1467,16.235488655396672,0.20586725328174435,0.13072837612909388,0.14220823522425408
2.0,50.0,40,1e-06,2187.7985777777776,14.730730251929597,0.13849207777120034,0.21418048638800996,0.168410235257404
